Facility,Occupancy Type,Month,Date,Time,Day,Occupancy,Temperature max,Temperature min,Maximum Heat Index,Minimum Wind Chill Index,Rain,Raining type,Temperature
Boyd House,Transient,January,01 09 2017,3:11:06 PM,Mon,19,59.4,30.93,-996,22.21,0,No rain,< 47
Boyd House,Transient,January,01 09 2017,4:20:19 PM,Mon,15,59.4,30.93,-996,22.21,0,No rain,< 47
Boyd House,Transient,January,01 10 2017,8:54:49 AM,Tue,7,59.4,30.93,-996,22.21,0,No rain,< 47
Boyd House,Transient,January,01 10 2017,10:03:55 AM,Tue,11,67.93,36.99,-996,34.1,0,No rain,< 57
Boyd House,Transient,January,01 10 2017,11:11:05 AM,Tue,20,67.93,36.99,-996,34.1,0,No rain,< 57
Boyd House,Transient,January,01 10 2017,12:16:26 PM,Tue,22,67.93,36.99,-996,34.1,0,No rain,< 57
Boyd House,Transient,January,01 10 2017,1:25:01 PM,Tue,19,67.93,36.99,-996,34.1,0,No rain,< 57
Boyd House,Transient,January,01 10 2017,2:30:45 PM,Tue,14,67.93,36.99,-996,34.1,0,No rain,< 57
Boyd House,Transient,January,01 10 2017,3:39:23 PM,Tue,14,67.93,36.99,-996,34.1,0,No rain,< 57
Boyd House,Transient,January,01 10 2017,4:48:13 PM,Tue,12,67.93,36.99,-996,34.1,0,No rain,< 57
Boyd House,Transient,January,01 11 2017,8:21:02 AM,Wed,6,67.93,36.99,-996,34.1,0,No rain,< 57
Boyd House,Transient,January,01 11 2017,9:28:22 AM,Wed,11,78.75,36.06,-996,32.21,0,No rain,< 66
Boyd House,Transient,January,01 11 2017,10:37:09 AM,Wed,15,78.75,36.06,-996,32.21,0,No rain,< 66
Boyd House,Transient,January,01 11 2017,11:43:33 AM,Wed,23,78.75,36.06,-996,32.21,0,No rain,< 66
Boyd House,Transient,January,01 11 2017,12:51:07 PM,Wed,22,78.75,36.06,-996,32.21,0,No rain,< 66
Boyd House,Transient,January,01 11 2017,1:58:06 PM,Wed,26,78.75,36.06,-996,32.21,0,No rain,< 66
Boyd House,Transient,January,01 11 2017,3:05:47 PM,Wed,19,78.75,36.06,-996,32.21,0,No rain,< 66
Boyd House,Transient,January,01 11 2017,4:14:10 PM,Wed,16,78.75,36.06,-996,32.21,0,No rain,< 66
Boyd House,Transient,January,01 12 2017,8:30:09 AM,Thu,8,78.75,36.06,-996,32.21,0,No rain,< 66
Boyd House,Transient,January,01 12 2017,9:38:45 AM,Thu,16,66.2,24.85,-996,12.53,0,No rain,< 47
Boyd House,Transient,January,01 12 2017,10:44:18 AM,Thu,20,66.2,24.85,-996,12.53,0,No rain,< 47
Boyd House,Transient,January,01 12 2017,11:44:23 AM,Thu,22,66.2,24.85,-996,12.53,0,No rain,< 47
Boyd House,Transient,January,01 12 2017,12:51:06 PM,Thu,24,66.2,24.85,-996,12.53,0,No rain,< 47
Boyd House,Transient,January,01 12 2017,1:58:37 PM,Thu,25,66.2,24.85,-996,12.53,0,No rain,< 47
Boyd House,Transient,January,01 12 2017,3:05:34 PM,Thu,22,66.2,24.85,-996,12.53,0,No rain,< 47
Boyd House,Transient,January,01 12 2017,4:14:08 PM,Thu,18,66.2,24.85,-996,12.53,0,No rain,< 47
Boyd House,Transient,January,01 13 2017,8:01:05 AM,Fri,2,66.2,24.85,-996,12.53,0,No rain,< 47
Boyd House,Transient,January,01 13 2017,9:10:52 AM,Fri,8,35.52,28.07,-996,17.11,0,No rain,< 47
Boyd House,Transient,January,01 13 2017,10:11:57 AM,Fri,9,35.52,28.07,-996,17.11,0,No rain,< 47
Boyd House,Transient,January,01 13 2017,11:22:25 AM,Fri,13,35.52,28.07,-996,17.11,0,No rain,< 47
Boyd House,Transient,January,01 13 2017,12:30:54 PM,Fri,13,35.52,28.07,-996,17.11,0,No rain,< 47
Boyd House,Transient,January,01 13 2017,1:41:12 PM,Fri,11,35.52,28.07,-996,17.11,0,No rain,< 47
Boyd House,Transient,January,01 13 2017,2:49:36 PM,Fri,13,35.52,28.07,-996,17.11,0,No rain,< 47
Boyd House,Transient,January,01 13 2017,4:00:23 PM,Fri,6,35.52,28.07,-996,17.11,0,No rain,< 47
Boyd House,Transient,January,01 14 2017,8:25:30 AM,Sat,1,33.04,28.89,-996,19.07,0.11,Rain,< 47
Boyd House,Transient,January,01 14 2017,9:35:41 AM,Sat,5,33.04,28.89,-996,19.07,0.11,Rain,< 47
Boyd House,Transient,January,01 14 2017,10:45:17 AM,Sat,5,33.04,28.89,-996,19.07,0.11,Rain,< 47
Boyd House,Transient,January,01 14 2017,11:53:02 AM,Sat,6,33.04,28.89,-996,19.07,0.11,Rain,< 47
Boyd House,Transient,January,01 14 2017,1:01:28 PM,Sat,5,33.04,28.89,-996,19.07,0.11,Rain,< 47
Boyd House,Transient,January,01 14 2017,2:10:17 PM,Sat,2,33.04,28.89,-996,19.07,0.11,Rain,< 47
Boyd House,Transient,January,01 14 2017,3:16:24 PM,Sat,3,33.04,28.89,-996,19.07,0.11,Rain,< 47
Boyd House,Transient,January,01 14 2017,4:25:02 PM,Sat,4,33.04,28.89,-996,19.07,0.11,Rain,< 47
Boyd House,Transient,January,01 15 2017,9:00:52 AM,Sun,4,47.84,32.24,-996,25.72,1.59,Rain,< 47
Boyd House,Transient,January,01 15 2017,10:08:33 AM,Sun,5,47.84,32.24,-996,25.72,1.59,Rain,< 47
Boyd House,Transient,January,01 15 2017,11:16:28 AM,Sun,6,47.84,32.24,-996,25.72,1.59,Rain,< 47
Boyd House,Transient,January,01 15 2017,12:21:22 PM,Sun,3,47.84,32.24,-996,25.72,1.59,Rain,< 47
Boyd House,Transient,January,01 15 2017,1:27:42 PM,Sun,6,47.84,32.24,-996,25.72,1.59,Rain,< 47
Boyd House,Transient,January,01 15 2017,2:33:23 PM,Sun,6,47.84,32.24,-996,25.72,1.59,Rain,< 47
Boyd House,Transient,January,01 15 2017,3:41:16 PM,Sun,11,47.84,32.24,-996,25.72,1.59,Rain,< 47
Boyd House,Transient,January,01 15 2017,4:48:09 PM,Sun,14,47.84,32.24,-996,25.72,1.59,Rain,< 47
Boyd House,Transient,January,01 16 2017,8:21:50 AM,Mon,0,50.9,35.11,-996,29.13,0.04,Rain,< 47
Boyd House,Transient,January,01 16 2017,9:30:55 AM,Mon,1,50.9,35.11,-996,29.13,0.04,Rain,< 47
Boyd House,Transient,January,01 16 2017,10:40:36 AM,Mon,3,50.9,35.11,-996,29.13,0.04,Rain,< 47
Boyd House,Transient,January,01 16 2017,11:47:13 AM,Mon,3,50.9,35.11,-996,29.13,0.04,Rain,< 47
Boyd House,Transient,January,01 16 2017,12:56:47 PM,Mon,4,50.9,35.11,-996,29.13,0.04,Rain,< 47
Boyd House,Transient,January,01 16 2017,2:03:30 PM,Mon,12,50.9,35.11,-996,29.13,0.04,Rain,< 47
Boyd House,Transient,January,01 16 2017,3:10:36 PM,Mon,10,50.9,35.11,-996,29.13,0.04,Rain,< 47
Boyd House,Transient,January,01 16 2017,4:20:40 PM,Mon,10,50.9,35.11,-996,29.13,0.04,Rain,< 47
Boyd House,Transient,January,01 17 2017,8:16:09 AM,Tue,27,54.32,32.25,-996,26.65,0,No rain,< 47
Boyd House,Transient,January,01 17 2017,9:24:30 AM,Tue,198,54.32,32.25,-996,26.65,0,No rain,< 47
Boyd House,Transient,January,01 17 2017,10:31:05 AM,Tue,196,54.32,32.25,-996,26.65,0,No rain,< 47
Boyd House,Transient,January,01 17 2017,11:39:40 AM,Tue,203,54.32,32.25,-996,26.65,0,No rain,< 47
Boyd House,Transient,January,01 17 2017,12:45:39 PM,Tue,201,54.32,32.25,-996,26.65,0,No rain,< 47
Boyd House,Transient,January,01 17 2017,1:53:46 PM,Tue,183,54.32,32.25,-996,26.65,0,No rain,< 47
Boyd House,Transient,January,01 17 2017,2:59:43 PM,Tue,160,54.32,32.25,-996,26.65,0,No rain,< 47
Boyd House,Transient,January,01 17 2017,4:08:24 PM,Tue,124,54.32,32.25,-996,26.65,0,No rain,< 47
Boyd House,Transient,January,01 18 2017,8:08:12 AM,Wed,19,55.85,34,-996,34.2,0,No rain,< 47
Boyd House,Transient,January,01 18 2017,9:12:29 AM,Wed,150,55.85,34,-996,34.2,0,No rain,< 47
Boyd House,Transient,January,01 18 2017,10:21:12 AM,Wed,203,55.85,34,-996,34.2,0,No rain,< 47
Boyd House,Transient,January,01 18 2017,11:31:04 AM,Wed,201,55.85,34,-996,34.2,0,No rain,< 47
Boyd House,Transient,January,01 18 2017,12:38:13 PM,Wed,196,55.85,34,-996,34.2,0,No rain,< 47
Boyd House,Transient,January,01 18 2017,1:46:00 PM,Wed,188,55.85,34,-996,34.2,0,No rain,< 47
Boyd House,Transient,January,01 18 2017,2:54:59 PM,Wed,169,55.85,34,-996,34.2,0,No rain,< 47
Boyd House,Transient,January,01 18 2017,4:02:50 PM,Wed,133,55.85,34,-996,34.2,0,No rain,< 47
Boyd House,Transient,January,01 19 2017,8:42:23 AM,Thu,87,59.04,45.37,-996,39.52,0,No rain,< 57
Boyd House,Transient,January,01 19 2017,9:49:06 AM,Thu,200,59.04,45.37,-996,39.52,0,No rain,< 57
Boyd House,Transient,January,01 19 2017,10:58:51 AM,Thu,191,59.04,45.37,-996,39.52,0,No rain,< 57
Boyd House,Transient,January,01 19 2017,12:08:13 PM,Thu,190,59.04,45.37,-996,39.52,0,No rain,< 57
Boyd House,Transient,January,01 19 2017,1:10:51 PM,Thu,191,59.04,45.37,-996,39.52,0,No rain,< 57
Boyd House,Transient,January,01 19 2017,2:15:44 PM,Thu,188,59.04,45.37,-996,39.52,0,No rain,< 57
Boyd House,Transient,January,01 19 2017,3:19:15 PM,Thu,159,59.04,45.37,-996,39.52,0,No rain,< 57
Boyd House,Transient,January,01 19 2017,4:24:40 PM,Thu,120,59.04,45.37,-996,39.52,0,No rain,< 57
Boyd House,Transient,January,01 20 2017,9:00:29 AM,Fri,104,70.25,39.85,-996,33.03,0,No rain,< 57
Boyd House,Transient,January,01 20 2017,10:09:05 AM,Fri,169,70.25,39.85,-996,33.03,0,No rain,< 57
Boyd House,Transient,January,01 20 2017,11:19:53 AM,Fri,183,70.25,39.85,-996,33.03,0,No rain,< 57
Boyd House,Transient,January,01 20 2017,12:28:09 PM,Fri,174,70.25,39.85,-996,33.03,0,No rain,< 57
Boyd House,Transient,January,01 20 2017,1:35:26 PM,Fri,147,70.25,39.85,-996,33.03,0,No rain,< 57
Boyd House,Transient,January,01 20 2017,2:43:36 PM,Fri,108,70.25,39.85,-996,33.03,0,No rain,< 57
Boyd House,Transient,January,01 20 2017,3:51:58 PM,Fri,85,70.25,39.85,-996,33.03,0,No rain,< 57
Boyd House,Transient,January,01 21 2017,8:00:13 AM,Sat,7,66.2,34.04,-996,33.53,0,No rain,< 57
Boyd House,Transient,January,01 21 2017,9:10:08 AM,Sat,10,66.2,34.04,-996,33.53,0,No rain,< 57
Boyd House,Transient,January,01 21 2017,10:17:38 AM,Sat,16,66.2,34.04,-996,33.53,0,No rain,< 57
Boyd House,Transient,January,01 21 2017,11:24:07 AM,Sat,16,66.2,34.04,-996,33.53,0,No rain,< 57
Boyd House,Transient,January,01 21 2017,12:29:33 PM,Sat,19,66.2,34.04,-996,33.53,0,No rain,< 57
Boyd House,Transient,January,01 21 2017,1:32:50 PM,Sat,17,66.2,34.04,-996,33.53,0,No rain,< 57
Boyd House,Transient,January,01 21 2017,2:39:18 PM,Sat,15,66.2,34.04,-996,33.53,0,No rain,< 57
Boyd House,Transient,January,01 21 2017,3:46:59 PM,Sat,15,66.2,34.04,-996,33.53,0,No rain,< 57
Boyd House,Transient,January,01 21 2017,4:53:32 PM,Sat,17,58.73,37.27,-996,32.53,0,No rain,< 57
Boyd House,Transient,January,01 22 2017,8:16:50 AM,Sun,6,58.73,37.27,-996,32.53,0,No rain,< 57
Boyd House,Transient,January,01 22 2017,9:26:19 AM,Sun,7,58.73,37.27,-996,32.53,0,No rain,< 57
Boyd House,Transient,January,01 22 2017,10:32:17 AM,Sun,13,58.73,37.27,-996,32.53,0,No rain,< 57
Boyd House,Transient,January,01 22 2017,11:41:21 AM,Sun,20,58.73,37.27,-996,32.53,0,No rain,< 57
Boyd House,Transient,January,01 22 2017,12:46:50 PM,Sun,19,58.73,37.27,-996,32.53,0,No rain,< 57
Boyd House,Transient,January,01 22 2017,1:53:15 PM,Sun,19,58.73,37.27,-996,32.53,0,No rain,< 57
Boyd House,Transient,January,01 22 2017,3:01:10 PM,Sun,19,58.73,37.27,-996,32.53,0,No rain,< 57
Boyd House,Transient,January,01 22 2017,4:09:02 PM,Sun,18,61.68,25.64,-996,23.77,0,No rain,< 47
Boyd House,Transient,January,01 23 2017,8:28:57 AM,Mon,51,61.68,25.64,-996,23.77,0,No rain,< 47
Boyd House,Transient,January,01 23 2017,9:39:31 AM,Mon,199,61.68,25.64,-996,23.77,0,No rain,< 47
Boyd House,Transient,January,01 23 2017,10:52:06 AM,Mon,200,61.68,25.64,-996,23.77,0,No rain,< 47
Boyd House,Transient,January,01 23 2017,12:00:11 PM,Mon,193,61.68,25.64,-996,23.77,0,No rain,< 47
Boyd House,Transient,January,01 23 2017,1:10:04 PM,Mon,200,61.68,25.64,-996,23.77,0,No rain,< 47
Boyd House,Transient,January,01 23 2017,2:18:39 PM,Mon,185,61.68,25.64,-996,23.77,0,No rain,< 47
Boyd House,Transient,January,01 23 2017,3:26:10 PM,Mon,151,61.68,25.64,-996,23.77,0,No rain,< 47
Boyd House,Transient,January,01 23 2017,4:36:55 PM,Mon,109,74.79,43.34,-996,36.54,0,No rain,< 66
Boyd House,Transient,January,01 24 2017,8:11:00 AM,Tue,22,74.79,43.34,-996,36.54,0,No rain,< 66
Boyd House,Transient,January,01 24 2017,9:20:09 AM,Tue,198,74.79,43.34,-996,36.54,0,No rain,< 66
Boyd House,Transient,January,01 24 2017,10:29:06 AM,Tue,201,74.79,43.34,-996,36.54,0,No rain,< 66
Boyd House,Transient,January,01 24 2017,11:35:21 AM,Tue,200,74.79,43.34,-996,36.54,0,No rain,< 66
Boyd House,Transient,January,01 24 2017,12:40:59 PM,Tue,190,74.79,43.34,-996,36.54,0,No rain,< 66
Boyd House,Transient,January,01 24 2017,1:47:55 PM,Tue,192,74.79,43.34,-996,36.54,0,No rain,< 66
Boyd House,Transient,January,01 24 2017,2:54:49 PM,Tue,176,45.49,29.94,-996,22.82,0,No rain,< 47
Boyd House,Transient,January,01 24 2017,3:57:52 PM,Tue,146,45.49,29.94,-996,22.82,0,No rain,< 47
Boyd House,Transient,January,01 25 2017,8:56:47 AM,Wed,101,45.49,29.94,-996,22.82,0,No rain,< 47
Boyd House,Transient,January,01 25 2017,10:05:49 AM,Wed,203,45.49,29.94,-996,22.82,0,No rain,< 47
Boyd House,Transient,January,01 25 2017,11:16:10 AM,Wed,197,45.49,29.94,-996,22.82,0,No rain,< 47
Boyd House,Transient,January,01 25 2017,12:25:08 PM,Wed,200,45.49,29.94,-996,22.82,0,No rain,< 47
Boyd House,Transient,January,01 25 2017,1:35:54 PM,Wed,188,45.49,29.94,-996,22.82,0,No rain,< 47
Boyd House,Transient,January,01 25 2017,2:44:06 PM,Wed,178,45.49,29.94,-996,22.82,0,No rain,< 47
Boyd House,Transient,January,01 25 2017,3:52:25 PM,Wed,160,44.97,22.53,-996,16.19,0,No rain,< 47
Boyd House,Transient,January,01 26 2017,8:45:00 AM,Thu,83,44.97,22.53,-996,16.19,0,No rain,< 47
Boyd House,Transient,January,01 26 2017,9:54:04 AM,Thu,203,44.97,22.53,-996,16.19,0,No rain,< 47
Boyd House,Transient,January,01 26 2017,11:04:17 AM,Thu,203,44.97,22.53,-996,16.19,0,No rain,< 47
Boyd House,Transient,January,01 26 2017,12:14:18 PM,Thu,198,44.97,22.53,-996,16.19,0,No rain,< 47
Boyd House,Transient,January,01 26 2017,1:22:52 PM,Thu,203,44.97,22.53,-996,16.19,0,No rain,< 47
Boyd House,Transient,January,01 26 2017,2:30:44 PM,Thu,188,44.97,22.53,-996,16.19,0,No rain,< 47
Boyd House,Transient,January,01 26 2017,3:37:54 PM,Thu,154,44.97,22.53,-996,16.19,0,No rain,< 47
Boyd House,Transient,January,01 26 2017,4:46:51 PM,Thu,87,49.41,24.14,-996,15.9,0,No rain,< 47
Boyd House,Transient,January,01 27 2017,8:49:03 AM,Fri,86,49.41,24.14,-996,15.9,0,No rain,< 47
Boyd House,Transient,January,01 27 2017,9:57:24 AM,Fri,176,49.41,24.14,-996,15.9,0,No rain,< 47
Boyd House,Transient,January,01 27 2017,11:08:19 AM,Fri,195,49.41,24.14,-996,15.9,0,No rain,< 47
Boyd House,Transient,January,01 27 2017,12:16:56 PM,Fri,190,49.41,24.14,-996,15.9,0,No rain,< 47
Boyd House,Transient,January,01 27 2017,1:27:18 PM,Fri,179,49.41,24.14,-996,15.9,0,No rain,< 47
Boyd House,Transient,January,01 27 2017,2:38:13 PM,Fri,143,49.41,24.14,-996,15.9,0,No rain,< 47
Boyd House,Transient,January,01 27 2017,3:48:01 PM,Fri,108,49.41,24.14,-996,15.9,0,No rain,< 47
Boyd House,Transient,January,01 27 2017,4:48:17 PM,Fri,78,53.73,26.03,-996,19.4,0,No rain,< 47
Boyd House,Transient,January,01 28 2017,8:09:53 AM,Sat,17,53.73,26.03,-996,19.4,0,No rain,< 47
Boyd House,Transient,January,01 28 2017,9:19:28 AM,Sat,18,53.73,26.03,-996,19.4,0,No rain,< 47
Boyd House,Transient,January,01 28 2017,10:27:22 AM,Sat,24,53.73,26.03,-996,19.4,0,No rain,< 47
Boyd House,Transient,January,01 28 2017,11:35:08 AM,Sat,38,53.73,26.03,-996,19.4,0,No rain,< 47
Boyd House,Transient,January,01 28 2017,12:42:39 PM,Sat,24,53.73,26.03,-996,19.4,0,No rain,< 47
Boyd House,Transient,January,01 28 2017,1:48:57 PM,Sat,25,53.73,26.03,-996,19.4,0,No rain,< 47
Boyd House,Transient,January,01 28 2017,2:55:06 PM,Sat,24,53.73,26.03,-996,19.4,0,No rain,< 47
Boyd House,Transient,January,01 28 2017,4:00:51 PM,Sat,25,66.63,35.16,-996,26.51,0,No rain,< 57
Boyd House,Transient,January,01 29 2017,8:27:42 AM,Sun,21,66.63,35.16,-996,26.51,0,No rain,< 57
Boyd House,Transient,January,01 29 2017,9:37:05 AM,Sun,25,66.63,35.16,-996,26.51,0,No rain,< 57
Boyd House,Transient,January,01 29 2017,10:43:34 AM,Sun,31,66.63,35.16,-996,26.51,0,No rain,< 57
Boyd House,Transient,January,01 29 2017,11:51:35 AM,Sun,33,66.63,35.16,-996,26.51,0,No rain,< 57
Boyd House,Transient,January,01 29 2017,12:57:42 PM,Sun,37,66.63,35.16,-996,26.51,0,No rain,< 57
Boyd House,Transient,January,01 29 2017,2:03:05 PM,Sun,41,66.63,35.16,-996,26.51,0,No rain,< 57
Boyd House,Transient,January,01 29 2017,3:11:10 PM,Sun,40,66.63,35.16,-996,26.51,0,No rain,< 57
Boyd House,Transient,January,01 29 2017,4:16:25 PM,Sun,37,75.43,30.66,-996,28.46,0,No rain,< 57
Boyd House,Transient,January,01 30 2017,8:31:17 AM,Mon,53,75.43,30.66,-996,28.46,0,No rain,< 57
Boyd House,Transient,January,01 30 2017,9:41:03 AM,Mon,202,75.43,30.66,-996,28.46,0,No rain,< 57
